
 # atom       x         y     z (au)         Fitted
  1 C    -0.101961    0.202420   -0.387749   0.034605
  2 C    -0.043240    1.587777   -0.280367   0.012907
  3 C     1.178510    2.255022   -0.212469   0.034012
  4 C     2.329749    1.484351   -0.256274  -0.053048
  5 C     2.288291    0.098441   -0.362738  -0.053928
  6 C     1.071321   -0.551763   -0.429040   0.027127
  7 N     3.675658    1.891706   -0.207191   0.065902
  8 C     4.523726    0.831510   -0.275400   0.017411
  9 C     3.699079   -0.450652   -0.385440   0.070870
 10 C     3.973468   -1.184186   -1.711225   0.012864
 11 C     5.890091    1.047979   -0.239534   0.001577
 12 C     6.983855    0.182570   -0.292866   0.069395
 13 C     8.389763    0.514932   -0.251512  -0.009037
 14 C     8.761950   -0.878237   -0.347539  -0.061690
 15 C     7.334375   -1.246420   -0.395463  -0.002341
 16 C    10.043923   -1.430066   -0.369693   0.003081
 17 O     6.705225   -2.296184   -0.482713   0.000717
 18 C    10.498575   -2.734768   -0.449286  -0.026208
 19 N    11.835868   -2.979654   -0.447942  -0.060383
 20 C    12.111871   -4.356682   -0.533904   0.051609
 21 C    10.907183   -5.048919   -0.592829   0.056618
 22 C     9.755644   -4.066952   -0.545850  -0.072935
 23 C    13.336700   -5.005047   -0.561006  -0.034223
 24 C    13.324382   -6.395764   -0.650609  -0.012818
 25 C    12.128516   -7.103029   -0.709975  -0.034727
 26 C    10.907879   -6.427483   -0.681387  -0.027722
 27 C    12.852121   -1.946104   -0.371209  -0.033039
 28 C     4.107901    3.273286   -0.100365   0.031821
 29 C     9.100814    1.701964   -0.156224   0.005829
 30 C     8.880515   -4.313552    0.696584  -0.012322
 31 C    10.522009    1.705755   -0.134907   0.012530
 32 N    11.682715    1.668323   -0.119881   0.006341
 33 C     8.431438    2.953292   -0.075727  -0.016062
 34 N     7.849301    3.956217   -0.011435  -0.005616
 35 C     3.940487   -1.377941    0.819659   0.013095
 36 C     8.920216   -4.150499   -1.836432  -0.012212
Total charge:                            0.000000            0.000000

Dipole moment (Debye):
Fitted-od:      -8.848656    5.283381    0.250215      10.308998
Fitted:      -3.481304    2.078627    0.098441       4.055842
Exact:        1.000000    1.000000    1.000000       1.732051
