
 # atom       x         y     z (au)         Fitted
  1 C    -0.101961    0.202420   -0.387749  -0.047373
  2 C    -0.043240    1.587777   -0.280367  -0.001888
  3 C     1.178510    2.255022   -0.212469  -0.028108
  4 C     2.329749    1.484351   -0.256274   0.044568
  5 C     2.288291    0.098441   -0.362738   0.004850
  6 C     1.071321   -0.551763   -0.429040  -0.006153
  7 N     3.675658    1.891706   -0.207191  -0.054124
  8 C     4.523726    0.831510   -0.275400   0.022429
  9 C     3.699079   -0.450652   -0.385440  -0.021872
 10 C     3.973468   -1.184186   -1.711225  -0.014687
 11 C     5.890091    1.047979   -0.239534  -0.055285
 12 C     6.983855    0.182570   -0.292866   0.118022
 13 C     8.389763    0.514932   -0.251512   0.003746
 14 C     8.761950   -0.878237   -0.347539  -0.122403
 15 C     7.334375   -1.246420   -0.395463   0.000924
 16 C    10.043923   -1.430066   -0.369693   0.056167
 17 O     6.705225   -2.296184   -0.482713  -0.000069
 18 C    10.498575   -2.734768   -0.449286  -0.023269
 19 N    11.835868   -2.979654   -0.447942   0.053767
 20 C    12.111871   -4.356682   -0.533904  -0.043448
 21 C    10.907183   -5.048919   -0.592829  -0.008477
 22 C     9.755644   -4.066952   -0.545850   0.027019
 23 C    13.336700   -5.005047   -0.561006   0.028072
 24 C    13.324382   -6.395764   -0.650609   0.002363
 25 C    12.128516   -7.103029   -0.709975   0.047146
 26 C    10.907879   -6.427483   -0.681387   0.006078
 27 C    12.852121   -1.946104   -0.371209   0.025470
 28 C     4.107901    3.273286   -0.100365  -0.025182
 29 C     9.100814    1.701964   -0.156224  -0.002809
 30 C     8.880515   -4.313552    0.696584   0.013967
 31 C    10.522009    1.705755   -0.134907   0.011538
 32 N    11.682715    1.668323   -0.119881  -0.005859
 33 C     8.431438    2.953292   -0.075727  -0.009505
 34 N     7.849301    3.956217   -0.011435   0.005272
 35 C     3.940487   -1.377941    0.819659  -0.014881
 36 C     8.920216   -4.150499   -1.836432   0.013997
Total charge:                            0.000000            0.000000

Dipole moment (Debye):
Fitted-od:       6.508954   -3.874098   -0.181571       7.576812
Fitted:       2.560801   -1.524176   -0.071435       2.980926
Exact:        1.000000    1.000000    1.000000       1.732051
